metro,Seattle-Tacoma-Bellevue WA
total_stores,197

brand,stores
Advance Auto Parts,15
AutoZone,50
NAPA Auto Parts,43
O'Reilly Auto Parts,89

county_geoid,county_name,leader,leader_stores,total_stores,status
53033,King County,O'Reilly Auto Parts,42,91,contested
53053,Pierce County,O'Reilly Auto Parts,25,55,contested
53061,Snohomish County,O'Reilly Auto Parts,22,51,contested

brand,store_id,city,county_name,nearest_brand,nearest_store_id,nearest_city,nearest_county_name,distance_miles
AutoZone,4f398f8a-f49f-4118-8bf3-f0a91ad0686f,Marysville,Snohomish County,O'Reilly Auto Parts,9fb9178b-a28c-4263-a50c-725d42eefdc9,Marysville,Snohomish County,0.27
O'Reilly Auto Parts,9fb9178b-a28c-4263-a50c-725d42eefdc9,Marysville,Snohomish County,AutoZone,4f398f8a-f49f-4118-8bf3-f0a91ad0686f,Marysville,Snohomish County,0.27
O'Reilly Auto Parts,716bd5f1-e1b3-4be0-a5b6-7a898fa0a46a,Puyallup,Pierce County,Advance Auto Parts,d657d3f9-c5c6-4f19-9ffe-40ec1a7e4e00,Puyallup,Pierce County,0.27
Advance Auto Parts,d657d3f9-c5c6-4f19-9ffe-40ec1a7e4e00,Puyallup,Pierce County,O'Reilly Auto Parts,716bd5f1-e1b3-4be0-a5b6-7a898fa0a46a,Puyallup,Pierce County,0.27
O'Reilly Auto Parts,74356f5b-de5b-4148-90a0-19d3ee574e7e,Woodinville,King County,NAPA Auto Parts,dcfe6443-5baf-4e07-ba25-b49daa7591b5,Woodinville,King County,0.27
NAPA Auto Parts,dcfe6443-5baf-4e07-ba25-b49daa7591b5,Woodinville,King County,O'Reilly Auto Parts,74356f5b-de5b-4148-90a0-19d3ee574e7e,Woodinville,King County,0.27
O'Reilly Auto Parts,528a0f48-eb7b-4c1a-bb5b-d348320e85e5,Kent,King County,Advance Auto Parts,4f7e27da-edf6-4fb4-8d7e-ad3b720f16df,Kent,King County,0.27
O'Reilly Auto Parts,cfcfbdef-846b-47ea-886c-04d8c04a961b,Woodinville,King County,NAPA Auto Parts,dcfe6443-5baf-4e07-ba25-b49daa7591b5,Woodinville,King County,0.28
Advance Auto Parts,00b6ef93-d341-4ac0-bc9c-8dc44bee8aaf,Burien,King County,AutoZone,9b951270-cd1a-4219-8814-bb75f4a17a6e,Burien,King County,0.29
AutoZone,729c7daf-a16a-4340-ad71-45206976371d,Lynnwood,Snohomish County,O'Reilly Auto Parts,e6fd4548-b507-410d-9924-ff40a6dce84d,Lynnwood,Snohomish County,0.29
NAPA Auto Parts,4c767589-0c6b-4215-a812-e590ebfa3dcc,Monroe,Snohomish County,O'Reilly Auto Parts,c4a2519d-6fa1-4dd3-8654-41ea23358dd7,Monroe,Snohomish County,0.33
NAPA Auto Parts,59b4a358-c95c-432c-af48-0240ec0158e9,Auburn,King County,O'Reilly Auto Parts,bc9e62d7-8a51-4f0b-b446-76bb81343975,Auburn,King County,0.33
O'Reilly Auto Parts,bc9e62d7-8a51-4f0b-b446-76bb81343975,Auburn,King County,NAPA Auto Parts,59b4a358-c95c-432c-af48-0240ec0158e9,Auburn,King County,0.33
NAPA Auto Parts,71537cf3-a8e1-4606-90b4-d03a63865371,Federal Way,King County,Advance Auto Parts,e2f3b241-099b-4ac9-8084-57497e5a333c,Federal Way,King County,0.35
O'Reilly Auto Parts,5658ba13-989c-42d7-a101-8d492ad83daf,Federal Way,King County,NAPA Auto Parts,71537cf3-a8e1-4606-90b4-d03a63865371,Federal Way,King County,0.35
NAPA Auto Parts,126b10f6-9e57-4243-89f8-128065f09bad,Everett,Snohomish County,Advance Auto Parts,ab2f33b5-8367-4d68-95e4-6713ef0ee67c,Everett,Snohomish County,0.37
Advance Auto Parts,ab2f33b5-8367-4d68-95e4-6713ef0ee67c,Everett,Snohomish County,NAPA Auto Parts,126b10f6-9e57-4243-89f8-128065f09bad,Everett,Snohomish County,0.37
AutoZone,4b36baf0-69f6-4ed8-97c6-69f89b9763f5,Federal Way,King County,O'Reilly Auto Parts,a8d8b513-d02a-48aa-a8e7-6c259c081dc4,Federal Way,King County,0.37
O'Reilly Auto Parts,a8d8b513-d02a-48aa-a8e7-6c259c081dc4,Federal Way,King County,AutoZone,4b36baf0-69f6-4ed8-97c6-69f89b9763f5,Federal Way,King County,0.37
O'Reilly Auto Parts,8d4d2904-5b7a-42e7-85f7-d8eb680a68e5,Burien,King County,NAPA Auto Parts,4cafb7d3-cb3e-4cb6-979b-fd5748d7bbb2,Burien,King County,0.40
NAPA Auto Parts,92f46d0f-2a5c-4096-99fd-e330cf3880fb,Everett,Snohomish County,O'Reilly Auto Parts,fed8e59a-1b29-4259-88db-6112de054340,Everett,Snohomish County,0.43
