county_geoid,county_name,cbsa_code,cbsa_title,cbsa_type,csa_code,csa_title,central_outlying,metro_context_status,relationship_source,relationship_vintage
13031,Bulloch County,44340,Statesboro GA,Micropolitan Statistical Area,496,Savannah-Hinesville-Statesboro GA,unknown,cbsa,Census July 2023 CBSA delineation file,2023-07
13033,Burke County,12260,Augusta-Richmond County GA-SC,Metropolitan Statistical Area,,,unknown,cbsa,Census July 2023 CBSA delineation file,2023-07
13035,Butts County,12060,Atlanta-Sandy Springs-Roswell GA,Metropolitan Statistical Area,122,Atlanta--Athens-Clarke County--Sandy Springs GA-AL,unknown,cbsa,Census July 2023 CBSA delineation file,2023-07
13039,Camden County,28680,Kingsland GA,Micropolitan Statistical Area,300,Jacksonville-Kingsland-Palatka FL-GA,unknown,cbsa,Census July 2023 CBSA delineation file,2023-07
13043,Candler County,,Non-CBSA Georgia county,Non-CBSA,,,,non_cbsa,Census July 2023 CBSA delineation file,2023-07
13045,Carroll County,12060,Atlanta-Sandy Springs-Roswell GA,Metropolitan Statistical Area,122,Atlanta--Athens-Clarke County--Sandy Springs GA-AL,unknown,cbsa,Census July 2023 CBSA delineation file,2023-07
13047,Catoosa County,16860,Chattanooga TN-GA,Metropolitan Statistical Area,174,Chattanooga-Cleveland-Dalton TN-GA-AL,unknown,cbsa,Census July 2023 CBSA delineation file,2023-07
13049,Charlton County,,Non-CBSA Georgia county,Non-CBSA,,,,non_cbsa,Census July 2023 CBSA delineation file,2023-07
13051,Chatham County,42340,Savannah GA,Metropolitan Statistical Area,496,Savannah-Hinesville-Statesboro GA,unknown,cbsa,Census July 2023 CBSA delineation file,2023-07
13053,Chattahoochee County,17980,Columbus GA-AL,Metropolitan Statistical Area,194,Columbus-Auburn-Opelika GA-AL,unknown,cbsa,Census July 2023 CBSA delineation file,2023-07
13055,Chattooga County,44900,Summerville GA,Micropolitan Statistical Area,174,Chattanooga-Cleveland-Dalton TN-GA-AL,unknown,cbsa,Census July 2023 CBSA delineation file,2023-07
13057,Cherokee County,12060,Atlanta-Sandy Springs-Roswell GA,Metropolitan Statistical Area,122,Atlanta--Athens-Clarke County--Sandy Springs GA-AL,unknown,cbsa,Census July 2023 CBSA delineation file,2023-07
