target_id,target_label,anchor_field,facility_type,facility_id,facility_name,operator,street_address,city,state,postal_code,latitude,longitude,source,source_date,license_status,rights_status,review_status,review_reason
sd-geofabrik-post-office-seed,SD Geofabrik post-office seed extract,breadth_first_post_office_seed_extract,post_office,osm:way:253549853,Plankinton Post Office,,,Plankinton,SD,,43.7157406,-98.4848696,Geofabrik OpenStreetMap GeoPackage extract,2026-08-15T20:21:20Z,open,ODbL; attribution and share-alike required,packet_ready,geofabrik_post_office_extract_address_limited
sd-geofabrik-post-office-seed,SD Geofabrik post-office seed extract,breadth_first_post_office_seed_extract,post_office,osm:node:13926224201,Platte Post Office,,,Platte,SD,,43.3859685,-98.8438107,Geofabrik OpenStreetMap GeoPackage extract,2026-08-15T20:21:20Z,open,ODbL; attribution and share-alike required,packet_ready,geofabrik_post_office_extract_address_limited
sd-geofabrik-post-office-seed,SD Geofabrik post-office seed extract,breadth_first_post_office_seed_extract,post_office,osm:way:1408877762,Pollock Post Office,,,Pollock,SD,,45.8990603,-100.2874434,Geofabrik OpenStreetMap GeoPackage extract,2026-08-15T20:21:20Z,open,ODbL; attribution and share-alike required,packet_ready,geofabrik_post_office_extract_address_limited
sd-geofabrik-post-office-seed,SD Geofabrik post-office seed extract,breadth_first_post_office_seed_extract,post_office,osm:way:1320436608,Porcupine Post Office,,,Porcupine,SD,,43.2402016,-102.3303816,Geofabrik OpenStreetMap GeoPackage extract,2026-08-15T20:21:20Z,open,ODbL; attribution and share-alike required,packet_ready,geofabrik_post_office_extract_address_limited
sd-geofabrik-post-office-seed,SD Geofabrik post-office seed extract,breadth_first_post_office_seed_extract,post_office,osm:node:14020962030,United States Postal Service,,,Postal Service,SD,,45.5225591,-102.4660429,Geofabrik OpenStreetMap GeoPackage extract,2026-08-15T20:21:20Z,open,ODbL; attribution and share-alike required,packet_ready,geofabrik_post_office_extract_address_limited
sd-geofabrik-post-office-seed,SD Geofabrik post-office seed extract,breadth_first_post_office_seed_extract,post_office,osm:way:544685347,United States Postal Service,,,Postal Service,SD,,43.4318094,-103.4756276,Geofabrik OpenStreetMap GeoPackage extract,2026-08-15T20:21:20Z,open,ODbL; attribution and share-alike required,packet_ready,geofabrik_post_office_extract_address_limited
sd-geofabrik-post-office-seed,SD Geofabrik post-office seed extract,breadth_first_post_office_seed_extract,post_office,osm:way:649739508,United States Postal Service,,,Postal Service,SD,,45.9411932,-102.1605412,Geofabrik OpenStreetMap GeoPackage extract,2026-08-15T20:21:20Z,open,ODbL; attribution and share-alike required,packet_ready,geofabrik_post_office_extract_address_limited
sd-geofabrik-post-office-seed,SD Geofabrik post-office seed extract,breadth_first_post_office_seed_extract,post_office,osm:node:9354494916,PostalAnnex,,,PostalAnnex,SD,,43.4997126,-96.7728307,Geofabrik OpenStreetMap GeoPackage extract,2026-08-15T20:21:20Z,open,ODbL; attribution and share-alike required,packet_ready,geofabrik_post_office_extract_address_limited
sd-geofabrik-post-office-seed,SD Geofabrik post-office seed extract,breadth_first_post_office_seed_extract,post_office,osm:node:13924665101,Presho Post Office,,,Presho,SD,,43.9101850,-100.0584300,Geofabrik OpenStreetMap GeoPackage extract,2026-08-15T20:21:20Z,open,ODbL; attribution and share-alike required,packet_ready,geofabrik_post_office_extract_address_limited
sd-geofabrik-post-office-seed,SD Geofabrik post-office seed extract,breadth_first_post_office_seed_extract,post_office,osm:node:12134179152,Pringle Post Office,,,Pringle,SD,,43.6078381,-103.5918632,Geofabrik OpenStreetMap GeoPackage extract,2026-08-15T20:21:20Z,open,ODbL; attribution and share-alike required,packet_ready,geofabrik_post_office_extract_address_limited
sd-geofabrik-post-office-seed,SD Geofabrik post-office seed extract,breadth_first_post_office_seed_extract,post_office,osm:node:13924666601,Pukwana Post Office,,,Pukwana,SD,,43.7809610,-99.1810910,Geofabrik OpenStreetMap GeoPackage extract,2026-08-15T20:21:20Z,open,ODbL; attribution and share-alike required,packet_ready,geofabrik_post_office_extract_address_limited
sd-geofabrik-post-office-seed,SD Geofabrik post-office seed extract,breadth_first_post_office_seed_extract,post_office,osm:way:1059291721,Quinn Post Office,,,Quinn,SD,,43.9856651,-102.1276225,Geofabrik OpenStreetMap GeoPackage extract,2026-08-15T20:21:20Z,open,ODbL; attribution and share-alike required,packet_ready,geofabrik_post_office_extract_address_limited
sd-geofabrik-post-office-seed,SD Geofabrik post-office seed extract,breadth_first_post_office_seed_extract,post_office,osm:way:1118936883,Ramona Post Office,,,Ramona,SD,,44.1192269,-97.2155132,Geofabrik OpenStreetMap GeoPackage extract,2026-08-15T20:21:20Z,open,ODbL; attribution and share-alike required,packet_ready,geofabrik_post_office_extract_address_limited
sd-geofabrik-post-office-seed,SD Geofabrik post-office seed extract,breadth_first_post_office_seed_extract,post_office,osm:way:292931020,Rapid City Post Office,,,Rapid City,SD,,44.0784952,-103.2144483,Geofabrik OpenStreetMap GeoPackage extract,2026-08-15T20:21:20Z,open,ODbL; attribution and share-alike required,packet_ready,geofabrik_post_office_extract_address_limited
sd-geofabrik-post-office-seed,SD Geofabrik post-office seed extract,breadth_first_post_office_seed_extract,post_office,osm:way:722338666,Reliance Post Office,,,Reliance,SD,,43.8756408,-99.6048336,Geofabrik OpenStreetMap GeoPackage extract,2026-08-15T20:21:20Z,open,ODbL; attribution and share-alike required,packet_ready,geofabrik_post_office_extract_address_limited
